"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"70",NA,"45-64",NA,"HSG/GED",0.165462709878954,0.07964828839658,0.829003768928524,1695,8.47015559653744e-226,4.23507779826872e-225
"71",NA,"45-64",NA,"Some college/TS",0.225790706755174,0.155289745982854,0.4614672252293,2313,2.08342355909341e-86,5.20855889773352e-86
"72",NA,"64+",NA,"<HSG",0.0631589222959781,0.0962120209547531,-0.456819045501582,647,7.86549563154236e-30,1.07256758611941e-29
"73",NA,"64+",NA,">=College grad",0.0795587661069895,0.089394232723357,-0.127303325027608,815,0.00048470242312723,0.000559272026685265
"74",NA,"64+",NA,"HSG/GED",0.0974228816868411,0.0963629306218137,0.0121131890722261,998,0.716191298257651,0.716191298257651
"75",NA,"64+",NA,"Some college/TS",0.101425224521671,0.12429308529748,-0.229099007696688,1039,2.29159265169577e-12,2.86449081461971e-12
"76","Male","18-44","Hispanic",NA,0.00097551458394303,0.0209015696057032,-3.08476153473556,10,3.65589199082481e-45,1.03583606406703e-44
"77","Male","45-64","Hispanic",NA,0.0246805189737587,0.0498314333055272,-0.72875743155349,253,1.23508553756191e-31,2.47017107512383e-31
"78","Male","64+","Hispanic",NA,0.0113159691737391,0.0245940983817051,-0.789812685036711,116,3.9631586676174e-18,5.38989578795967e-18
"79","Male","18-44","NH White",NA,0,0.0310342386820948,-Inf,0,-Inf,-Inf
"80","Male","45-64","NH White",NA,0.25821871036972,0.137152064051456,0.783900703315352,2647,4.48926129830933e-278,2.54391473570862e-277
"81","Male","64+","NH White",NA,0.154814164471759,0.166292696259217,-0.0851981483097297,1587,0.00180096017003101,0.00197524663809853
"82","Male","18-44","NH Black",NA,0.000390205833577212,0.00891786344317608,-3.13770487787886,4,8.71320639540229e-34,1.85155635902299e-33
"83","Male","45-64","NH Black",NA,0.0603843527460736,0.0382511356038624,0.479839217177752,619,1.54705208772696e-31,2.92220949903981e-31
"84","Male","64+","NH Black",NA,0.0346307677299776,0.0198830604280163,0.570035631591432,355,1.06107181277233e-26,1.71792579210757e-26
"85","Male","18-44","Other",NA,0.00117061750073164,0.00354857804194747,-1.11139916966551,12,5.14682228391813e-05,5.83306525510722e-05
"86","Male","45-64","Other",NA,0.0477026631548142,0.0312813027895535,0.439063616524111,489,1.28391832422439e-21,1.98423741016497e-21
"87","Male","64+","Other",NA,0.0201931518876207,0.0231252235518335,-0.138577405138315,207,0.0482536064688133,0.0497158369678682
"88","Female","18-44","Hispanic",NA,0,0.0219148057217415,-Inf,0,-Inf,-Inf
"89","Female","45-64","Hispanic",NA,0.0243878645985758,0.0430608606383307,-0.587854133609547,250,1.23670557817852e-20,1.82817346339433e-20
"90","Female","64+","Hispanic",NA,0.0105355575065847,0.0244969508809689,-0.858003234462501,108,6.01216103220933e-20,8.51722812896322e-20
"91","Female","18-44","NH White",NA,0,0.0321540137371339,-Inf,0,-Inf,-Inf
"92","Female","45-64","NH White",NA,0.140278997171008,0.0971929568369882,0.415835953243544,1438,4.34538608204544e-49,1.34311933445041e-48
"93","Female","64+","NH White",NA,0.0703346015022925,0.105437330990195,-0.443342655855379,721,5.69049655656413e-31,1.01829938380621e-30
"94","Female","18-44","NH Black",NA,0,0.0210574905745948,-Inf,0,-Inf,-Inf
"95","Female","45-64","NH Black",NA,0.0678958150424349,0.0342801737770182,0.718836397780446,696,4.43607061876482e-78,1.67584890042227e-77
"96","Female","64+","NH Black",NA,0.0272168568920105,0.023412047313912,0.154489420401032,279,0.0108449573954963,0.0115227672327148
"97","Female","18-44","Other",NA,0,0.00721708936927293,-Inf,0,-Inf,-Inf
"98","Female","45-64","Other",NA,0.0320944298117257,0.0158248044127135,0.723773274836978,329,8.83974971304725e-40,2.31193454033544e-39
"99","Female","64+","Other",NA,0.0127792410496537,0.0191382116030373,-0.410327002476279,131,2.61301359454607e-06,3.06353317981264e-06
"100","Male","18-44",NA,"<HSG",0.000195236235845373,0.0101910068776592,-3.96509867591069,2,2.72806608525478e-42,5.45613217050957e-42
"101","Male","18-44",NA,"HSG/GED",0.00107379929714955,0.0230654088831513,-3.08939214147181,11,9.67688941600382e-50,2.21186043794373e-49
"102","Male","18-44",NA,"Some college/TS",0.000488090589613432,0.025568074555928,-3.98401115007956,5,3.41751948758255e-58,8.41235566174166e-58
"103","Male","18-44",NA,">=College grad",0.000780944943381492,0.00564021531269702,-1.98204779879923,8,5.12390060926716e-11,7.45294634075224e-11
"104","Male","45-64",NA,"<HSG",0.0413900819992191,0.051648517694843,-0.232179246770317,424,2.71343789733173e-06,3.61791719644231e-06
"105","Male","45-64",NA,"HSG/GED",0.0932253026161656,0.0457222405181954,0.763495095725716,955,3.12501759197852e-117,1.25000703679141e-116
"106","Male","45-64",NA,"Some college/TS",0.132760640374854,0.083099064398555,0.524198786111293,1360,4.34560766220531e-74,1.26417677445973e-73
"107","Male","45-64",NA,">=College grad",0.123682155408044,0.0762950299900709,0.53577107627005,1267,5.82299611830789e-73,1.55279896488211e-72
"108","Male","64+",NA,"<HSG",0.0384615384615385,0.0431350084088704,-0.119548445456243,394,0.0198975946711131,0.0219559665336421
"109","Male","64+",NA,"HSG/GED",0.0563256540413901,0.0537194514824439,0.0501328911181114,577,0.242021189691295,0.249828324842627
"110","Male","64+",NA,"Some college/TS",0.0681374463100351,0.0647167097576646,0.0551716394610136,698,0.159350048869081,0.169973385460353
"111","Male","64+",NA,">=College grad",0.0579851620460758,0.0720392385183436,-0.23205537595442,594,3.76394592017052e-08,5.23679432371551e-08
"112","Female","18-44",NA,"<HSG",0,0.0207738703503678,-Inf,0,-Inf,-Inf
"113","Female","18-44",NA,"HSG/GED",0,0.0100434490407662,-Inf,0,-Inf,-Inf
"114","Female","18-44",NA,"Some college/TS",0,0.0363152935722882,-Inf,0,-Inf,-Inf
"115","Female","18-44",NA,">=College grad",0,0.0148320283261732,-Inf,0,-Inf,-Inf
"116","Female","45-64",NA,"<HSG",0.0437329168293635,0.0367506469813982,0.181220295743993,448,0.00017262700271005,0.000212464003335446
"117","Female","45-64",NA,"HSG/GED",0.072237407262788,0.0339260509469823,0.7962393439116,740,8.97005395938771e-102,3.18935251889341e-101
"118","Female","45-64",NA,"Some college/TS",0.0930300663803202,0.072190649040273,0.276329183083715,953,3.64325315773169e-16,5.55162385940067e-16
"119","Female","45-64",NA,">=College grad",0.0558375634517767,0.0476761682612416,0.16662207954559,572,0.000105906077628089,0.000135559779363953
"120","Female","64+",NA,"<HSG",0.0246973838344397,0.0530770162526289,-0.79457671029947,253,1.39718787236568e-37,2.63000070092363e-37
"121","Female","64+",NA,"HSG/GED",0.041097227645451,0.0426435213787804,-0.0385485623298347,421,0.438590903557141,0.438590903557141
"122","Female","64+",NA,"Some college/TS",0.0332877782116361,0.0595763418015864,-0.609638614925621,341,2.56610711413391e-29,4.10577138261425e-29
"123","Female","64+",NA,">=College grad",0.0215736040609137,0.0173549976490916,0.221892374582944,221,0.00107703777127462,0.00127648921039955
"124","Female",NA,"Hispanic","<HSG",0.0175712612260836,0.045538735375449,-0.981179358273893,180,5.44864952738408e-42,3.81405466916886e-41
